Pin Number,Function,Function,Pin Number,Description
1,XCVR_TXp7,XCVR_RXp7,2,Transceiver
3,XCVR_TXn7,XCVR_RXn7,4,Transceiver
5,XCVR_TXp6,XCVR_RXp6,6,Transceiver
7,XCVR_TXn6,XCVR_RXn6,8,Transceiver
9,XCVR_TXp5,XCVR_RXp5,10,Transceiver
11,XCVR_TXn5,XCVR_RXn5,12,Transceiver
13,XCVR_TXp4,XCVR_RXp4,14,Transceiver
15,XCVR_TXn4,XCVR_RXn4,16,Transceiver
17,XCVR_TXp3,XCVR_RXp3,18,Transceiver
19,XCVR_TXn3,XCVR_RXn3,20,Transceiver
21,XCVR_TXp2,XCVR_RXp2,22,Transceiver
23,XCVR_TXn2,XCVR_RXn2,24,Transceiver
25,XCVR_TXp1,XCVR_RXp1,26,Transceiver
27,XCVR_TXn1,XCVR_RXn1,28,Transceiver
29,XCVR_TXp0,XCVR_RXp0,30,Transceiver
31,XCVR_TXn0,XCVR_RXn0,32,Transceiver
33,SDA,SCL,34,SMBUS/CMOS
35,JTAG_TCK,JTAG_TMS,36,JTAG/CMOS
37,JTAG_TDO,JTAG_TDI,38,JTAG/CMOS
39,CLKOUT0,CLKIN0,40,CMOS CLK
41,D0,D1,42,CMOS
43,D2,D3,44,CMOS
45,3.3V,12V,46,Power
47,LVDS_TXp0,LVDS_RXp0,48,CMOS/LVDS
49,LVDS_TXn0,LVDS_RXn0,50,CMOS/LVDS
51,3.3V,12V,52,Power
53,LVDS_TXp1,LVDS_RXp1,54,CMOS/LVDS
55,LVDS_TXn1,LVDS_RXn1,56,CMOS/LVDS
57,3.3V,12V,58,Power
59,LVDS_TXp2,LVDS_RXp2,60,CMOS/LVDS
61,LVDS_TXn2,LVDS_RXn2,62,CMOS/LVDS
63,3.3V,12V,64,Power
65,LVDS_TXp3,LVDS_RXp3,66,CMOS/LVDS
67,LVDS_TXn3,LVDS_RXn3,68,CMOS/LVDS
69,3.3V,12V,70,Power
71,LVDS_TXp4,LVDS_RXp4,72,CMOS/LVDS
73,LVDS_TXn4,LVDS_RXn4,74,CMOS/LVDS
75,3.3V,12V,76,Power
77,LVDS_TXp5,LVDS_RXp5,78,CMOS/LVDS
79,LVDS_TXn5,LVDS_RXn5,80,CMOS/LVDS
81,3.3V,12V,82,Power
83,LVDS_TXp6,LVDS_RXp6,84,CMOS/LVDS
85,LVDS_TXn6,LVDS_RXn6,86,CMOS/LVDS
87,3.3V,12V,88,Power
89,LVDS_TXp7,LVDS_RXp7,90,CMOS/LVDS
91,LVDS_TXn7,LVDS_RXn7,92,CMOS/LVDS
93,3.3V,12V,94,Power
95,CLKOUT1p,CLKIN1p,96,LVDS CLKp/CMOS
97,CLKOUT1n,CLKIN1n,98,LVDS CLKn/CMOS
99,3.3V,12V,100,Power
101,LVDS_TXp8,LVDS_RXp8,102,CMOS/LVDS
103,LVDS_TXn8,LVDS_RXn8,104,CMOS/LVDS
105,3.3V,12V,106,Power
107,LVDS_TXp9,LVDS_RXp9,108,CMOS/LVDS
109,LVDS_TXn9,LVDS_RXn9,110,CMOS/LVDS
111,3.3V,12V,112,Power
113,LVDS_TXp10,LVDS_RXp10,114,CMOS/LVDS
115,LVDS_TXn10,LVDS_RXn10,116,CMOS/LVDS
117,3.3V,12V,118,Power
119,LVDS_TXp11,LVDS_RXp11,120,CMOS/LVDS
121,LVDS_TXn11,LVDS_RXn11,122,CMOS/LVDS
123,3.3V,12V,124,Power
125,LVDS_TXp12,LVDS_RXp12,126,CMOS/LVDS
127,LVDS_TXn12,LVDS_RXn12,128,CMOS/LVDS
129,3.3V,12V,130,Power
131,LVDS_TXp13,LVDS_RXp13,132,CMOS/LVDS
133,LVDS_TXn13,LVDS_RXn13,134,CMOS/LVDS
135,3.3V,12V,136,Power
137,LVDS_TXp14,LVDS_RXp14,138,CMOS/LVDS
139,LVDS_TXn14,LVDS_RXn14,140,CMOS/LVDS
141,3.3V,12V,142,Power
143,LVDS_TXp15,LVDS_RXp15,144,CMOS/LVDS
145,LVDS_TXn15,LVDS_RXn15,146,CMOS/LVDS
147,3.3V,12V,148,Power
149,LVDS_TXp16,LVDS_RXp16,150,CMOS/LVDS
151,LVDS_TXn16,LVDS_RXn16,152,CMOS/LVDS
153,3.3V,12V,154,Power
155,CLKOUT2n,CLKIN2n,158,LVDS CLKn/CMOS
157,CLKOUT2p,CLKIN2p,156,LVDS CLKp/CMOS
159,3.3V,PSNTn,160,Power/PSNTn



